Company,CEO,Salary (million)
AAR CORP,David P. Storch,0.85
ADC TELECOMMUNICATIONS INC,Robert E. Switz,0.77
AMR CORP/DE,Gerard Arpey,0.67
AVX CORP,John S. Gilbertson,0.75
PINNACLE WEST CAPITAL CORP,Donald E. Brandt,0.96
AARON'S INC,"Robert C. Loudermilk, Jr.",0.66
ABBOTT LABORATORIES,Miles D. White,1.89
ADVANCED MICRO DEVICES,Thomas Seifert,0.53
AETNA INC,Mark T. Bertolini,0.94
AIR PRODUCTS & CHEMICALS INC,John E. McGlade,1.2
ALASKA AIR GROUP INC,William S. Ayer,0.4
ALBERTO-CULVER CO,V. James Marino,0.95
ALEXANDER & BALDWIN INC,Stanley M. Kuriyama,0.62
ALLEGHENY ENERGY INC,Paul J. Evanson,1.21
HONEYWELL INTERNATIONAL INC,David M. Cote,1.8
SKYWORKS SOLUTIONS INC,David J. Aldrich,0.61
ALCOA INC,"Klaus Kleinfeld, Ph.D., rer. pol., Dipl.-Kfm.",1.4
HESS CORP,John B. Hess,1.5
FORTUNE BRANDS INC,Bruce A. Carbonari,1.13
ABM INDUSTRIES INC,Henrik C. Slipsager,0.81
AMERICAN ELECTRIC POWER CO,Michael G. Morris,1.27
AMERICAN EXPRESS CO,Kenneth I. Chenault,1.94
AFLAC INC,Daniel P. Amos,1.38
AMERICAN GREETINGS  -CL A,Zev Weiss,0.94
AMERICAN INTERNATIONAL GROUP,Robert Herman Benmosche,3
AMERICAN PACIFIC CORP,"Joseph Carleone, Ph.D.",0.45
AMERICAN SCIENCE ENGINEERING,Anthony R. Fabiano,0.58
AMERICAN VANGUARD CORP,Eric G. Wintemute,0.5
AMETEK INC,Frank S. Hermance,1
AMGEN INC,Kevin W. Sharer,1.75
ANALOG DEVICES,Jerald G. Fishman,0.93
ANALOGIC CORP,Jim Green,0.49
ANALYSTS INTERNATIONAL CORP,Brittany B. McKinney,0.23
ANDERSONS INC,Mike Anderson,0.52
NABORS INDUSTRIES LTD,Eugene M. Isenberg,1.19
APACHE CORP,G. Steven Farris,1.75
APOGEE ENTERPRISES INC,Russell Huffer,0.7
APPLE INC,Timothy D. Cook,0.8
APPLIED MATERIALS INC,Michael R. Splinter,0.97
ACTUANT CORP  -CL A,Robert C. Arzbaecher,0.85
ARCHER-DANIELS-MIDLAND CO,Patricia Woertz,1.3
ARKANSAS BEST CORP,Judy R. McReynolds,0.45
ARROW ELECTRONICS INC,Michael J. Long,0.8
ASHLAND INC,James J. O'Brien,1.13
AGL RESOURCES INC,"John W. Somerhalder, II",0.85
ATWOOD OCEANICS,Robert J. Saltiel,0.52
AUTODESK INC,Carl Bass,0.92
AUTOMATIC DATA PROCESSING,Gary C. Butler,1
AVERY DENNISON CORP,Dean A. Scarborough,0.97
AVNET INC,Richard Hamada,0.7
AVON PRODUCTS,Andrea Jung,1.38
AZZ INC,David H. Dingus,0.5
BADGER METER INC,Richard A. Meeusen,0.54
BAKER HUGHES INC,Chadwick C. Deaton,1.28
BALCHEM CORP  -CL B,Dino A. Rossi,0.51
BALL CORP,John A. Hayes,0.73
CONSTELLATION ENERGY GRP INC,"Mayo A. Shattuck, III",1.3
POPULAR INC,Richard L. Carrion,0.84
BANK OF HAWAII CORP,Peter S. Ho,0.67
BANCTEC INC-REDH,J. Coley Clark,0.48
BANK OF NEW YORK MELLON CORP,Robert P. Kelly,1
BRE PROPERTIES INC,Constance B. Moore,0.48
BARD (C.R.) INC,Timothy M. Ring,1.05
BARNES GROUP INC,Gregory F. Milzcik,0.86
BARRICK GOLD CORP,"Aaron W. Regent, C.A",1.55
BASSETT FURNITURE INDS,"Robert H. Spilman, Jr.",0.34
BAXTER INTERNATIONAL INC,"Robert L. Parkinson, Jr.",1.37
APPLIED INDUSTRIAL TECH INC,David L. Pugh,0.95
BECTON DICKINSON & CO,Edward J. Ludwig,1.07
BEL FUSE INC,Daniel Bernstein,0.23
VERIZON COMMUNICATIONS INC,Lowell C. McAdam,0.91
BELO CORP  -SER A COM,Dunia A. Shive,0.77
BEMIS CO INC,Henry J. Theisen,0.9
BERKSHIRE HATHAWAY,Warren E. Buffett,0.1
BEST BUY CO INC,Brian J. Dunn,1.06
BIO-RAD LABORATORIES INC,Norman D. Schwartz,0.76
BLACK HILLS CORP,David R. Emery,0.59
BLOCK H & R INC,Russell P. Smyth,0.34
ENSCO PLC -ADR,Daniel W. Rabun,0.88
BLOUNT INTL INC,Joshua L. Collins,0.58
BOB EVANS FARMS,Steven A. Davis,0.79
BOEING CO,"W. James McNerney, Jr.",1.93
OFFICEMAX INC,Ravichandra K. Saligram,0.12
ROBERT HALF INTL INC,"Harold M. Messmer, Jr.",0.53
MOMENTIVE SPCLTY CHEMICALS,Craig O. Morrison,0.91
NSTAR,Thomas J. May,1.06
ABITIBIBOWATER INC,David J. Paterson,0.89
BRADY CORP,Frank M. Jaehnert,0.77
BRIGGS & STRATTON,Todd J. Teske,0.79
BRISTOL-MYERS SQUIBB CO,Charles Bancroft,0.68
BROWN-FORMAN  -CL B,Paul C. Varga,1.04
BROWN SHOE CO INC,Diane Sullivan,0.74
BRUNSWICK CORP,Dustan E. McCoy,0.91
MATERION CORP,Richard J. Hipple,0.71
BURLINGTON COAT FACTORY WRHS,Thomas A. Kingsbury,0.89
MASTEC INC,Jose Ramon Mas,0.61
UNISYS CORP,J. Edward Coleman,0.97
ACXIOM CORP,Jerry D. Gramaglia,0.01
CDI CORP,Roger H. Ballou,0.73
CIGNA CORP,David M. Cordani,1
CPI CORP,"Renato Cataldo, Jr., Pharm.D.",0.48
CNA FINANCIAL CORP,Thomas F. Motamed,1
CSX CORP,Michael J. Ward,1.1
CTS CORP,Vinod M. Khilnani,0.59
CABOT CORP,Patrick M. Prevost,0.84
CACI INTL INC  -CL A,Paul M. Cofoni,0.73
CAMPBELL SOUP CO,Denise M. Morrison,0.65
CONSTELLATION BRANDS  -CL A,Robert Sands,1.13
CARDINAL HEALTH INC,George S. Barrett,1.23
CARLISLE COS INC,David A. Roberts,0.98
PROGRESS ENERGY INC,William D. Johnson,0.99
CARPENTER TECHNOLOGY CORP,William A. Wulfsohn,0.8
CASCADE CORP,"Robert C. Warren, Jr.",0.53
CASEYS GENERAL STORES INC,Robert J. Myers,0.73
CASTLE (A M) & CO,Michael H. Goldberg,0.55
DOLE FOOD CO INC,David H. Murdock,0.96
CATERPILLAR INC,Douglas R. Oberhelman,1.08
CATO CORP  -CL A,John P. Derham Cato,1.04
CH ENERGY GROUP INC,Steven V. Lant,0.55
CLECO CORP,Michael H. Madison,0.52
CENTRAL VERMONT PUB SERV,Robert H. Young,0.41
CENTURYLINK INC,"Glen F. Post, III",1.02
CERADYNE INC,Joel P. Moskowitz,0.71
CHARMING SHOPPES INC,Anthony M. Romano,0.5
MAGELLAN HEALTH SERVICES INC,"R Lerer, M.D.",0.94
CANTEL MEDICAL CORP,Andrew A. Krakauer,0.44
CHECKPOINT SYSTEMS INC,Rob Van Der Merwe,0.85
CHEMED CORP,Kevin McNamara,0.78
JPMORGAN CHASE & CO,James Dimon,1
CHEVRON CORP,John Watson,1.48
BRINKER INTL INC,Douglas H. Brooks,0.9
CHUBB CORP,John D. Finnegan,1.31
CHURCH & DWIGHT INC,James R. Craigie,0.89
CINCINNATI BELL INC,John F. Cassidy,0.65
CINTAS CORP,Scott D. Farmer,0.75
CITY NATIONAL CORP,Russell Goldsmith,0.98
CLARCOR INC,Norman E. Johnson,0.73
CC MEDIA HOLDINGS INC,Mark P. Mays,1.01
CLIFFS NATURAL RESOURCES INC,Joseph A. Carrabba,0.81
CLOROX CO/DE,Donald R. Knauss,1.08
COCA-COLA BTLNG CONS,"J. Frank Harrison, III",0.84
COCA-COLA CO,Muhtar Kent,1.2
COEUR D'ALENE MINES CORP,Mitchell J. Krebs,0.29
COHERENT INC,"John Ambroseo, Ph.D.",0.58
COHU INC,James A. Donahue,0.51
COLGATE-PALMOLIVE CO,Ian M. Cook,1.15
AON CORP,Greg C. Case,1.5
COMCAST CORP,Brian L. Roberts,2.8
COMERICA INC,"Ralph W. Babb, Jr.",2.73
COMMERCE BANCSHARES INC,David W. Kemper,0.86
CITIGROUP INC,Vikram S. Pandit,0
COMMERCIAL METALS,Joseph Alvarado,0.17
AVIS BUDGET GROUP INC,Ronald L. Nelson,1
CA INC,William E. McCracken,1
COMPUTER SCIENCES CORP,Michael W. Laphen,1.11
COMPUTER TASK GROUP INC,James R. Boldt,0.46
COMTECH TELECOMMUN,Fred Kornberg,0.7
CONAGRA FOODS INC,Gary M. Rodkin,1
CONSOLIDATED EDISON INC,Kevin Burke,1.12
CON-WAY INC,Douglas W. Stotlar,0.63
BIGLARI HOLDINGS INC,Sardar Biglari,0.9
CMS ENERGY CORP,John G. Russell,0.76
COOPER INDUSTRIES PLC,Kirk S. Hachigian,1.2
COOPER TIRE & RUBBER CO,Roy V. Armes,0.89
COOPER COMPANIES INC,Robert S. Weiss,0.7
MOLSON COORS BREWING CO,Peter S. Swinburn,0.94
CORNING INC,Wendell P. Weeks,1.07
COUSINS PROPERTIES INC,"Larry L. Gellerstedt, III",0.5
CRACKER BARREL OLD CTRY STOR,Sandra Brophy Cochran,0.5
CRANE CO,Eric C. Fast,0.96
CHEMTURA CORP,Craig A. Rogerson,1
CROSS (A.T.) & CO  -CL A,David G. Whalen,0.6
CROWN HOLDINGS INC,John W. Conway,1.08
CUBIC CORP,Walter J. Zable,0.75
CULLEN/FROST BANKERS INC,"Richard W. Evans, Jr.",0.8
CUMMINS INC,TIm M. Solso,1.29
CURTISS-WRIGHT CORP,Martin R. Benante,0.96
DST SYSTEMS INC,Thomas A. McDonnell,0.65
WENDY'S CO,Roland C. Smith,1.15
DANA HOLDING CORP,James E. Sweetnam,0.85
DANAHER CORP,"H. Lawrence Culp, Jr.",1.12
TARGET CORP,Gregg W. Steinhafel,1.5
DPL INC,Paul M. Barbas,0.68
DEERE & CO,Samuel R. Allen,1.2
DELTA AIR LINES INC,Richard H. Anderson,0.6
DELUXE CORP,Lee Schram,0.79
DTE ENERGY CO,Gerard M. Anderson,0.9
DEVRY INC,Daniel Hamburger,0.75
ALLIANCE ONE INTL INC,Mark W. Kehaya,0.18
DIEBOLD INC,Thomas W. Swidarski,0.8
DIODES INC,"Keh-Shew Lu, Ph.D.",0.4
DIONEX CORP,"Frank Witney, Ph.D.",0.45
DISNEY (WALT) CO,Robert A. Iger,2
DIXIE GROUP INC,Daniel K. Frierson,0.48
DOLLAR GENERAL CORP,Richard W. Dreiling,1.14
DOMINION RESOURCES INC,"Thomas F. Farrell, II",1.22
DONALDSON CO INC,William M. Cook,0.7
DONNELLEY (R R) & SONS CO,"Thomas J. Quinlan, III",1
DOVER CORP,Robert A. Livingston,0.9
DOW CHEMICAL,Andrew N. Liveris,1.69
OMNICOM GROUP,John Wren,1
ASCENA RETAIL GROUP INC,David R. Jaffe,0.95
DU PONT (E I) DE NEMOURS,Ellen Kullman,1.3
DUKE ENERGY CORP,"James E. Rogers, Jr.",0
DUN & BRADSTREET CORP,Sara Mathew,0.75
FLOWSERVE CORP,Mark A. Blinn,0.91
DYCOM INDUSTRIES INC,Steven E. Nielsen,0.75
PERKINELMER INC,Robert F. Friel,0.9
EASTGROUP PROPERTIES,"David H. Hoster, II",0.53
EASTMAN KODAK CO,Antonio M. Perez,1.1
EATON CORP,Alexander M. Cutler,1.18
EATON VANCE CORP,"Thomas E. Faust, Jr.",0.5
ECOLAB INC,"Douglas M. Baker, Jr.",1
EL PASO ELECTRIC CO,David W. Stevens,0.56
EL PASO CORP,Douglas L. Foshee,1.07
ELECTRO SCIENTIFIC INDS INC,Nicholas Konidaris,0.54
EMS TECHNOLOGIES INC,Neilson A. Mackay,0.43
EMERSON ELECTRIC CO,David N. Farr,1.19
EMULEX CORP,James M. McCluney,0.59
ENERGEN CORP,"James T. McManus, II",0.69
WEATHERFORD INTL LTD,"Bernard J. Duroc-Danner, Ph.D.",1.6
ATMOS ENERGY CORP,Kim R. Cocklin,0.55
ENNIS INC,Keith S. Walters,0.86
ENZO BIOCHEM INC,"Elazar Rabbani, Ph.D.",0.55
EQUIFAX INC,Richard F. Smith,1.45
EQT CORP,David L. Porges,0.59
ESTERLINE TECHNOLOGIES CORP,Richard Bradley Lawrence,0.6
NEWMARKET CORP,Thomas E. Gottwald,0.73
EXAR CORP,Pedro P. Rodriguez,0.43
EXPEDITORS INTL WASH INC,Peter J. Rose,0.11
INSTEEL INDUSTRIES,"H. O. Woltz, III",0.43
EXXON MOBIL CORP,Rex W. Tillerson,2.21
FMC CORP,Pierre R. Brondeau,0.9
NEXTERA ENERGY INC,"Lewis Hay, III",1.29
JO-ANN STORES INC,Travis Smith,0.62
FAMILY DOLLAR STORES,Howard R. Levine,1
FEDEX CORP,Frederick W. Smith,1.23
FEDERAL-MOGUL CORP,Jos? Maria Alapont,1.5
FANNIE MAE,Michael J. Williams,0.9
FEDERAL REALTY INVESTMENT TR,"Donald C. Wood, CPA",0.73
FEDERAL SIGNAL CORP,Dennis J. Martin,0.11
MACY'S INC,Terry J. Lundgren,1.5
FERRO CORP,James F. Kirsch,0.89
FIFTH THIRD BANCORP,Kevin T. Kabat,3.15
REGIONS FINANCIAL CORP,"O. B. Grayson Hall, Jr.",0.84
FIRSTMERIT CORP,Paul Greig,0.75
TRUSTMARK CORP,Gerard R. Host,0.46
M & T BANK CORP,Robert G. Wilmers,1.75
U S BANCORP,Richard K. Davis,0.98
FIRST HORIZON NATIONAL CORP,Bryan Jordan,2.27
FLOW INTL CORP,Charles M. Brown,0.47
FLOWERS FOODS INC,George E. Deese,0.96
FLUOR CORP,David T. Seaton,0.7
FORD MOTOR CO,Alan R. Mulally,1.4
FOREST LABORATORIES  -CL A,Howard Solomon,1.31
FOREST OIL CORP,H. Craig Clark,0.67
FOSTER WHEELER AG,Robert C. Flexon,0.84
FRANKLIN RESOURCES INC,"Gregory Eugene Johnson, CPA",0.76
FROZEN FOOD EXPRESS INDS,Stoney Russell Stubbs,0.29
FULLER (H. B.) CO,James J. Owens,0.44
G&K SERVICES INC  -CL A,Douglas A. Milroy,0.55
GATX CORP,Brian A. Kenney,0.88
ARTHUR J GALLAGHER & CO,"J. Patrick Gallagher, Jr.",1
GANNETT CO,Craig Dubow,0.98
GAP INC,"Glenn K. Murphy, B.A.",1.5
GENCORP INC,Scott Seymour,0.5
GENERAL DYNAMICS CORP,Jay L. Johnson,1.4
GENERAL ELECTRIC CO,Jeffrey R. Immelt,3.3
GENERAL MILLS INC,Kendall J. Powell,1.06
GENERAL MOTORS CO,Daniel F. Akerson,0.57
SPX CORP,Christopher J. Kearney,1.05
GENESCO INC,Robert J. Dennis,0.78
GENTEX CORP,Fred T. Bauer,0.43
GENUINE PARTS CO,Thomas Gallagher,0.95
GERBER SCIENTIFIC INC,Marc T. Giles,0.52
GETTY REALTY CORP,David B. Driscoll,0.38
GLATFELTER,Dante C. Parrini,0.53
GOODRICH CORP,Marshall O. Larsen,1.1
GOODYEAR TIRE & RUBBER CO,Richard J. Kramer,0.93
GRACE (W R) & CO,Alfred E. Festa,0.94
GRACO INC,Patrick J. McHale,0.64
GRAINGER (W W) INC,James T. Ryan,0.89
GREAT ATLANTIC & PAC TEA CO,Samuel Martin,0.59
GREIF INC  -CL A,Michael J. Gasser,0.97
MONEYGRAM INTERNATIONAL INC,Pamela H. Patsley,0.86
HANDLEMAN CO,"Albert A. Koch, CPA",0
HARRIS CORP,Howard L. Lance,1.05
HARSCO CORP,Salvatore D. Fazzolari,0.89
HASBRO INC,Brian D. Goldner,1.18
HAVERTY FURNITURE,Clarence H. Smith,0.45
HAWAIIAN ELECTRIC INDS,Constance H. Lau,0.79
HAWKINS INC,Patrick H. Hawkins,0.28
HEALTH CARE REIT INC,George L. Chapman,0.65
HECLA MINING CO,"Phillips S. Baker, Jr.",0.45
HEINZ (H J) CO,William R. Johnson,1.25
HELEN OF TROY LTD,Gerald J. Rubin,0.6
HELMERICH & PAYNE,Hans Helmerich,0.63
HERSHEY CO,John P. Bilbrey,0.63
HEWLETT-PACKARD CO,Catherine A. Lesjak,0.61
HILL-ROM HOLDINGS INC,John J. Greisch,0.58
HOLLYFRONTIER CORP,Matthew P. Clifton,0.92
PINNACLE ENTERTAINMENT INC,Anthony Sanfilippo,0.66
HOME DEPOT INC,Francis S. Blake,1.06
HNI CORP,Stanley A. Askren,0.76
HOOPER HOLMES INC,Ransom J. Parker,0.12
HORMEL FOODS CORP,Jeffrey M. Ettinger,0.99
STARWOOD HOTELS&RESORTS WRLD,Frits van Paasschen,1.21
HSBC FINANCE CORP,Patrick J. Burke,0.5
CENTERPOINT ENERGY INC,David M. McClanahan,1.09
HOVNANIAN ENTRPRS INC  -CL A,Ara K. Hovnanian,1.09
URSTADT BIDDLE PROPERTIES,Charles J. Urstadt,0.3
HUBBELL INC  -CL B,Timothy H. Powers,0.93
HUNT (JB) TRANSPRT SVCS INC,Kirk Thompson,0.7
HUNTINGTON BANCSHARES,Stephen D. Steinour,3
HUTCHINSON TECHNOLOGY INC,Wayne M. Fortun,0.59
ITT CORP,Steven R. Loranger,1.15
RAYONIER INC,Lee M. Thomas,0.9
IDACORP INC,J. LaMont Keen,0.62
ILLINOIS TOOL WORKS,David B. Speer,1.13
VECTREN CORP,Carl L. Chapman,0.53
INGERSOLL-RAND PLC,Michael W. Lamach,0.97
RYERSON HOLDING CORP,Stephen E. Makarewicz,0.45
INSITUFORM TECHNOLOGIES-CL A,J. Joseph Burgess,0.57
GRIFFON CORP,Ronald J. Kramer,0.8
INTEGRATED DEVICE TECH INC,"Theodore L. Tewksbury, III, Ph.D.",0.58
INTEL CORP,Paul S. Otellini,1
FURNITURE BRANDS INTL INC,Ralph P. Scozzafava,0.75
INTERFACE INC  -CL A,Daniel T. Hendrix,0.78
INTL BUSINESS MACHINES CORP,Samuel J. Palmisano,1.8
INTL FLAVORS & FRAGRANCES,"Douglas D. Tough, MBA, BBA",1
NAVISTAR INTERNATIONAL CORP,Daniel C. Ustian,1.18
INTL GAME TECHNOLOGY,Patti S. Hart,0.8
INTL PAPER CO,John V. Faraci,1.31
INTL RECTIFIER CORP,Oleg Khaykin,0.75
INTL SPEEDWAY CORP  -CL A,Lesa Kennedy,0.6
INTL LOTTERY & TOTALIZATOR,Jeffrey M. Johnson,0.16
INTERPUBLIC GROUP OF COS,Michael I. Roth,1.4
INVACARE CORP,Gerald B. Blouch,0.69
ANIXTER INTL INC,Robert J. Eck,0.67
JACOBS ENGINEERING GROUP INC,Craig L. Martin,1.17
EMCOR GROUP INC,Anthony J. Guzzi,0.71
JEFFERIES GROUP INC,Richard B. Handler,0.92
JOHNSON & JOHNSON,William C. Weldon,1.85
JOHNSON CONTROLS INC,Stephen A. Roell,1.37
KLA-TENCOR CORP,Richard P. Wallace,0.8
SEARS HOLDINGS CORP,W. Bruce Johnson,0.98
KINDER MORGAN INC,Richard D. Kinder,0
KAMAN CORP,Neal J. Keating,0.73
GREAT PLAINS ENERGY INC,M. J. Chesser,0.8
KANSAS CITY SOUTHERN,David L. Starling,0.61
WESTAR ENERGY INC,Mark A. Ruelle,0.43
CKE RESTAURANTS INC,Andy Puzder,1.09
KAYDON CORP,James O'Leary,0.7
KEITHLEY INSTRUMENTS INC,Joseph P. Keithley,0.41
KELLOGG CO,John A. Bryant,0.83
KELLY SERVICES INC  -CL A,Carl T. Camden,0.94
KENNAMETAL INC,Carlos M. Cardoso,0.9
KIMBERLY-CLARK CORP,Thomas J. Falk,1.28
KIRBY CORP,Joseph H. Pyne,0.68
KROGER CO,"David B. Dillon, J.D.",1.26
KULICKE & SOFFA INDUSTRIES,Bruno Guilmart,0
LSB INDUSTRIES INC,Jack E. Golsen,0.66
LSI CORP,Abhijit Y. Talwalkar,0.8
LTX-CREDENCE CORP,David G. Tacelli,0.52
LA-Z-BOY INC,Kurt L. Darrow,0.77
LACLEDE GROUP INC,Douglas H. Yaeger,0.64
LAM RESEARCH CORP,Stephen G. Newberry,0.86
LANCASTER COLONY CORP,"John B. Gerlach, Jr.",0.86
SNYDERS-LANCE INC,David V. Singer,0.7
LAWSON PRODUCTS,Thomas J. Neri,0.5
LEE ENTERPRISES INC,Mary E. Junck,0.83
LEGGETT & PLATT INC,David S. Haffner,0.92
LEGG MASON INC,Mark Raymond Fetting,0.5
4KIDS ENTERTAINMENT INC,Alfred R. Kahn,0.77
LENNAR CORP,Stuart Miller,1
LILLY (ELI) & CO,"John Lechleiter, Ph.D.",1.5
LIMITED BRANDS INC,Leslie H. Wexner,1.92
LINCOLN ELECTRIC HLDGS INC,"John M. Stropki, Jr.",0.78
LINCOLN NATIONAL CORP,Dennis R. Glass,2
LIZ CLAIBORNE INC,William L. McComb,1.3
LOCKHEED MARTIN CORP,Bob Stevens,1.8
LOEWS CORP,James S. Tisch,0.98
RANGE RESOURCES CORP,John H. Pinkerton,0.72
LOUISIANA-PACIFIC CORP,Richard W. Frost,0.84
LOWE'S COMPANIES INC,Robert A. Niblock,1.1
LUBRIZOL CORP,James L. Hambrick,1.01
LUBYS INC,Chris J. Pappas,0.2
LUFKIN INDUSTRIES INC,John F. Glick,0.52
LYDALL INC,Dale G. Barnhart,0.48
MDU RESOURCES GROUP INC,Terry D. Hildestad,0.75
MTS SYSTEMS CORP,Laura B. Hamilton,0.53
MANITOWOC CO,Glen E. Tellock,0.84
MARATHON OIL CORP,"Clarence P. Cazalot, Jr.",1.4
MARCUS CORP,Gregory S. Marcus,0.52
HOST HOTELS & RESORTS INC,W. Edward Edward Walter,0.71
MARSH & MCLENNAN COS,Brian Duperreault,1
MARSHALL & ILSLEY CORP,Mark F. Furlong,0.88
MASCO CORP,Timothy Wadhams,0.95
MATERIAL SCIENCES CORP,Clifford D. Nastas,0.4
MATTEL INC,Robert A. Eckert,1.25
MCCORMICK & CO INC,Alan D. Wilson,0.91
MCDERMOTT INTL INC,Stephen M. Johnson,0.83
MCDONALD'S CORP,Jim Skinner,1.43
MCGRAW-HILL COMPANIES,"Harold McGraw, III",1.39
MEDCO HEALTH SOLUTIONS INC,"David B. Snow, Jr.",1.3
MEDIA GENERAL  -CL A,Marshall N. Morton,0.94
MEDTRONIC INC,"William A. Hawkins, III",1.25
CVS CAREMARK CORP,Larry J. Merlo,0.94
MENTOR GRAPHICS CORP,Walden C. Rhines,0.66
MERCK & CO,Kenneth C. Frazier,1.16
MEREDITH CORP,Stephen M. Lacy,0.93
METHODE ELECTRONICS INC,Donald W. Duda,0.56
MICROS SYSTEMS INC,A. L. Giannopoulos,2
MICRON TECHNOLOGY INC,Steven R. Appleton,0.81
MICROSEMI CORP,James J. Peterson,0.62
ENTERGY CORP,J. Wayne Leonard,1.29
MILLER (HERMAN) INC,Brian C. Walker,0.69
MINE SAFETY APPLIANCES CO,William M. Lambert,0.61
3M CO,George W. Buckley,1.72
ALLETE INC,Alan R. Hodnik,0.36
MODINE MANUFACTURING CO,Thomas A. Burke,0.7
MOLEX INC,Martin P. Slark,0.98
MOOG INC  -CL A,Robert T. Brady,0.95
RUBY TUESDAY INC,"Samuel E. Beall, III",1.1
MOTOROLA SOLUTIONS INC,"Sanjay K. Jha, Ph.D.",0.9
MURPHY OIL CORP,David M. Wood,1.21
MYERS INDUSTRIES INC,John C. Orr,0.73
MYLAN INC,Robert J. Coury,1.7
BANK OF AMERICA CORP,Brian T. Moynihan,0.95
NCR CORP,William R. Nuti,1
NANOMETRICS INC,"Timothy J. Stultz, Ph.D.",0.4
NASH FINCH CO,Alec C. Covington,0.85
NATIONAL FUEL GAS CO,David F. Smith,0.77
TENET HEALTHCARE CORP,Trevor Fetter,1.08
NPC INTERNATIONAL INC,James K. Schwartz,0.7
NATIONAL PRESTO INDS INC,Maryjo J. Cohen,0.47
NATIONAL SEMICONDUCTOR CORP,Donald Macleod,0.77
NATURES SUNSHINE PRODS INC,Michael D. Dean,0.33
NV ENERGY INC,Michael W. Yackira,0.79
NEW JERSEY RESOURCES CORP,Laurence M. Downes,0.71
NEW YORK TIMES CO  -CL A,Janet Robinson,1
NEWELL RUBBERMAID INC,Mark D. Ketchum,1.3
NEWMONT MINING CORP,Richard T. O'Brien,1.07
NEWPORT CORP,Robert J. Phillippy,0.44
NICOR INC,Russ M. Strobel,0.77
NIKE INC  -CL B,Mark G. Parker,1.54
NOBLE ENERGY INC,Charles D. Davidson,1.01
NORDSON CORP,Michael F. Hilton,0.53
NORDSTROM INC,Blake W. Nordstrom,0.7
NORFOLK SOUTHERN CORP,"Charles W. Moorman, IV",0.95
NACCO INDUSTRIES  -CL A,"Alfred Marshall Rankin, Jr.",1.22
MOVADO GROUP INC,Efraim Grinberg,0.95
NORTHEAST UTILITIES,Charles W. Shivery,1.04
