Company,CEO,Salary (million)
N B T BANCORP INC,Martin Dietrich,0.54
SIMMONS FIRST NATL CP  -CL A,J. Thomas May,0.48
STERLING FINANCIAL CORP/WA,J. Gregory Seibly,0.55
S & T BANCORP INC,Todd D. Brice,0.43
SCOTTS MIRACLE-GRO CO,James Hagedorn,1
ICONIX BRAND GROUP INC,Neil Cole,1
CAESARS ENTERTAINMENT CORP,Gary W. Loveman,1.9
CABOT OIL & GAS CORP,Dan O. Dinges,0.6
DENBURY RESOURCES INC,"Phil Rykhoek, Sr.",0.5
CISCO SYSTEMS INC,John T. Chambers,0.38
HOLOGIC INC,Robert A. Cascella,0.85
DELPHI FINANCIAL GROUP INC,Robert Rosenkranz,0.87
MEDICIS PHARMACEUT CP  -CL A,Jonah Shacknai,1.14
NTN BUZZTIME INC,Michael J. Bush,0.27
TETRA TECHNOLOGIES INC/DE,Stuart M. Brightman,0.5
VICOR CORP,Patrizio Vinciarelli,0.35
GRANITE CONSTRUCTION INC,James H. Roberts,0.39
LANDSTAR SYSTEM INC,Henry H. Gerkens,0.5
BE AEROSPACE INC,Amin J. Khoury,1.09
ORBITAL SCIENCES CORP,David W. Thompson,0.64
KEMPER CORP/DE,Donald G. Southwell,0.98
MERIT MEDICAL SYSTEMS INC,Fred P. Lampropoulos,0.66
ANN INC,Katherine Lawther Krill,1.2
CONTANGO OIL & GAS CO,Kenneth R. Peak,0.75
INTEGRAL SYSTEMS INC,"Paul G. Casner, Jr.",0.39
INTL BANCSHARES CORP,Dennis E. Nixon,0.61
K-SWISS INC  -CL A,Steven B. Nichols,0.96
TRUEBLUE INC,Steven C. Cooper,0.55
HCA HOLDINGS INC,Richard M. Bracken,1.33
XILINX INC,Moshe N. Gavrielov,0.7
ARCTIC CAT INC,Claude J. Jordan,0.44
WET SEAL INC  -CL A,Susan P. McGalla,0.03
TRIMBLE NAVIGATION LTD,Steven W. Berglund,0.63
O'CHARLEY'S INC,"Philip J. Hickey, Jr.",0.15
COMSTOCK RESOURCES INC,Miles Jay Allison,0.55
TRANSATLANTIC HOLDINGS INC,Robert F. Orlich,1
EXPONENT INC,"Paul R. Johnston, Ph.D., P.E.",0.53
BENCHMARK ELECTRONICS INC,Cary T. Fu,0.74
MATRIX SERVICE CO,Michael J. Bradley,0.65
ALLIANT TECHSYSTEMS INC,John L. Shroyer,0.49
ESCO TECHNOLOGIES INC,"Victor L. Richey, Jr.",0.71
ETHAN ALLEN INTERIORS INC,M. Farooq Kathwari,1.05
BIOLASE TECHNOLOGY INC,David M. Mulder,0.19
CATHAY GENERAL BANCORP,"Dunson K. Cheng, Ph.D.",1
HAYNES INTERNATIONAL INC,Mark M. Comerford,0.41
SONIC CORP,J. Clifford Hudson,0.63
COMMUNITY HEALTH SYSTEMS INC,Wayne T. Smith,1.37
ATMEL CORP,Steve Laub,0.74
PS BUSINESS PARKS,"Joseph D. Russell, Jr.",0.43
AUTOZONE INC,"William C. Rhodes, III",0.92
ION GEOPHYSICAL CORP,Robert P. Peebler,0.58
REGENERON PHARMACEUT,"Leonard S. Schleifer, M.D., Ph.D.",0.76
COVENTRY HEALTH CARE INC,Allen F. Wise,0.6
PMC-SIERRA INC,Gregory S. Lang,0.63
CEPHALON INC,J. Kevin Buchi,0.69
UNITED STATES STEEL CORP,"John P. Surma, Jr.",1.13
APRIA HEALTHCARE GROUP INC,"Norman C. Payson, M.D.",0.75
HAEMONETICS CORP,Brian P. Concannon,0.55
JONES GROUP INC,Wesley R. Card,1.6
PANERA BREAD CO,Ronald M. Shaich,0.62
FIRST CASH FINANCIAL SVCS,Rick L. Wessel,0.85
IDEXX LABS INC,Jonathan W. Ayers,0.7
AES CORP,Paul Hanrahan,1.12
REHABCARE GROUP INC,"John H. Short, Ph.D.",0.73
CORVEL CORP,Daniel J. Starck,0.38
HANCOCK HOLDING CO,John M. Hairston,0.43
AMBAC FINANCIAL GROUP INC,Diana N. Adams,0.58
DINEEQUITY INC,Julia A. Stewart,0.91
KAISER ALUMINUM CORP,Jack A. Hockema,0.8
HANSEN NATURAL CORP,Rodney C. Sacks,0.41
XL GROUP PLC,Michael S. McGavick,1
VERTEX PHARMACEUTICALS INC,Matthew Emmens,1.13
MONRO MUFFLER BRAKE INC,Robert G. Gross,0.84
PROGRESS SOFTWARE CORP,Richard D. Reidy,0.49
BUCYRUS INTERNATIONAL INC,Timothy W. Sullivan,1
MGIC INVESTMENT CORP/WI,Curt S. Culver,0.87
HEALTHWAYS INC,"Ben R. Leedle, Jr.",0.71
ZEBRA TECHNOLOGIES CP  -CL A,Anders Gustafsson,0.74
THQ INC,Brian J. Farrell,0.7
PROASSURANCE CORP,"William Stancil Starnes, Esq.",0.82
BIOGEN IDEC INC,"George A. Scangos, Ph.D.",0.52
STEWART ENTERPRISES  -CL A,Thomas J. Crawford,0.6
VCA ANTECH INC,Robert L. Antin,0.91
SWS GROUP INC,James H. Ross,0.35
OLD DOMINION FREIGHT,David S. Congdon,0.5
HORACE MANN EDUCATORS CORP,Peter H. Heckman,0.47
ATLANTIC TELE-NETWORK INC,Michael T. Prior,0.53
WABASH NATIONAL CORP,Richard J. Giromini,0.52
WORLD ACCEPTANCE CORP/DE,"A. Alexander McLean, III",0.42
KIMCO REALTY CORP,David B. Henry,0.75
PERRIGO CO,Joseph C. Papa,0.96
TETRA TECH INC,Dan L. Batrack,0.64
QUALCOMM INC,"Paul E. Jacobs, Ph.D.",1.15
VITESSE SEMICONDUCTOR CORP,Christopher Gardner,0.41
CORP OFFICE PPTYS TR INC,Randall M. Griffin,0.65
USA MOBILITY INC,Vincent D. Kelly,0.6
GILEAD SCIENCES INC,"John C. Martin, Ph.D.",1.34
PDL BIOPHARMA INC,John P. McLaughlin,0.52
ABAXIS INC,Clinton H. Severson,0.37
WHOLE FOODS MARKET INC,Walter Robb,0.4
ROPER INDUSTRIES INC/DE,B. D. Jellison,1.05
SYNOPSYS INC,Aart J. de Geus,0.5
CALLAWAY GOLF CO,George Fellows,0.97
VALASSIS COMMUNICATIONS INC,Alan F. Schultz,1
SCICLONE PHARMACEUTICALS INC,"Friedhelm Blobel, Ph.D.",0.46
TIME WARNER INC,Jeffrey L. Bewkes,2
LINCARE HOLDINGS INC,John P. Byrnes,0.92
CHRISTOPHER & BANKS CORP,Larry C. Barenbaum,0.19
ICU MEDICAL INC,"George A. Lopez, M.D.",0.67
MOHAWK INDUSTRIES INC,Jeff Lorberbaum,0.99
PRAXAIR INC,Stephen F. Angel,1.08
NCI BUILDING SYSTEMS INC,Norman Chambers,0.75
FIRST DATA CORP,Joe Forehand,0.97
KOPIN CORP,John C. Fan,0.5
MENS WEARHOUSE INC,Douglas S. Ewert,0.51
AGCO CORP,Martin H. Richenhagen,1.09
STEIN MART INC,"David H. Stovall, Jr.",0.83
MEDQUIST INC,Peter L. Masanotti,0.5
VALENCE TECHNOLOGY INC,Robert L. Kanode,0.25
BUCKLE INC,Dennis H. Nelson,0.93
BOSTON SCIENTIFIC CORP,J. Raymond Elliott,1.2
KOHL'S CORP,Kevin Mansell,1.3
STERIS CORP,"Walter M. Rosebrough, Jr.",0.75
FRANKLIN COVEY CO,Robert A. Whitman,0.5
BED BATH & BEYOND INC,Steven H. Temares,2.29
D R HORTON INC,Donald J. Tomnitz,0.9
EXPRESS SCRIPTS INC,George Paz,1.07
FINISH LINE INC  -CL A,Glenn Lyon,0.78
COLUMBIA BANKING SYSTEM INC,Melanie J. Dressel,0.43
GENERAL CABLE CORP/DE,Gregory B. Kenny,0.83
STARBUCKS CORP,Howard D. Schultz,1.28
DYNEGY INC,Bruce A. Williamson,1
SUPERIOR ENERGY SERVICES INC,David D. Dunlap,0.56
CENTRAL GARDEN & PET CO,William E. Brown,0.65
ANCHOR BANCORP INC/WI,Chris Michael Bauer,0.66
ENCORE WIRE CORP,Daniel L. Jones,0.55
ZOLL MEDICAL CORP,Richard A. Packer,0.4
HI TECH PHARMACAL CO INC,David S. Seltzer,0.47
OMEGA HEALTHCARE INVS INC,C. Taylor Pickett,0.6
LTC PROPERTIES INC,Wendy L. Simpson,0.42
CHEESECAKE FACTORY INC,David Overton,0.88
LITTELFUSE INC,Gordon B. Hunter,0.65
ON ASSIGNMENT INC,Peter T. Dameris,0.64
MCAFEE INC,David G. DeWalt,0.95
KEMET CORP,Per-Olof Loof,0.77
EPICOR SOFTWARE CORP,L. George Klaus,0.74
STERLING BANCSHRS/TX,J. Downey Bridgwater,0.61
MINERALS TECHNOLOGIES INC,Joseph C. Muscari,0.9
PETROQUEST ENERGY INC,Charles T. Goodson,0.5
HCC INSURANCE HOLDINGS INC,"John N. Molbeck, Jr.",1.95
PATTERSON COMPANIES INC,Scott P. Anderson,0.59
RADIAN GROUP INC,S. A. Ibrahim,0.8
BOOKS-A-MILLION INC,Terrance G. Finley,0.34
QUESTCOR PHARMACEUTICALS INC,Don M. Bailey,0.56
TAUBMAN CENTERS INC,Robert S. Taubman,0.7
SHUFFLE MASTER INC,Timothy J. Parrott,0.52
COMPUWARE CORP,Robert C. Paul,0.65
BLACK BOX CORP,R. Terry Blakemore,0.6
SM ENERGY CO,Anthony J. Best,0.54
TRIDENT MICROSYSTEMS INC,Sylvia Summers Couder,0.63
SEACOR HOLDINGS INC,"Oivind Lorentzen, III",0.2
HMS HOLDINGS CORP,"Bill Lucia, FLMI",0.55
PALOMAR MED TECHNOLOGIES INC,Joseph P. Caruso,0.34
IAC/INTERACTIVECORP,Gr?gory R. Blatt,0.65
GULFPORT ENERGY CORP,Mike Liddell,0.26
NAUTILUS INC,Edward J. Bramson,0
DDR CORP,Daniel B. Hurwitz,0.62
CHESAPEAKE ENERGY CORP,Aubrey K. McClendon,0.98
CREE INC,Charles M. Swoboda,0.6
CYBERONICS INC,Daniel J. Moore,0.52
CRYOLIFE INC,Steven G. Anderson,0.62
UNIVERSAL ELECTRONICS INC,Paul D. Arling,0.51
WATSON PHARMACEUTICALS INC,Paul M. Bisaro,1
HUMANA INC,Michael B. McCallister,1.03
AVID TECHNOLOGY INC,Gary G. Greenfield,0.94
INTUIT INC,Brad D. Smith,0.8
PACIFIC SUNWEAR CALIF INC,Gary H. Schoenfeld,1.05
SHOE CARNIVAL INC,Mark L. Lemond,0.73
MICROCHIP TECHNOLOGY INC,Steve Sanghi,0.55
CHICOS FAS INC,David F. Dyer,0.95
APPLIED SIGNAL TECHNOLOGY,"William B. Van Vleet, III",0.45
GYMBOREE CORP,Matthew K. McCauley,0.64
ACE LTD,Evan G. Greenberg,1.2
FOSSIL INC,Kosta N. Kartsotis,0
GENERAL GROWTH PPTYS INC,Adam S. Metz,1.46
SANMINA-SCI CORP,Jure Sola,0.8
APTARGROUP INC,Peter H. Pfeiffer,0.83
O'REILLY AUTOMOTIVE INC,Gregory L. Henslee,0.84
POLYONE CORP,Stephen D. Newlin,0.86
JABIL CIRCUIT INC,Timothy L. Main,1
REINSURANCE GROUP AMER INC,A. Greig Woodring,0.92
TITAN INTERNATIONAL INC,"Maurice M. Taylor, Jr.",0.71
ELLIS PERRY INTL INC,George Feldenkreis,1
HEALTHCARE REALTY TRUST INC,David R. Emery,1.36
ACADIA REALTY TRUST,"Kenneth F. Bernstein, J.D.",0.46
TRANSOCEAN LTD,Steven L. Newman,0.85
TANGER FACTORY OUTLET CTRS,Steven B. Tanger,0.69
ALLSTATE CORP,"Thomas J. Wilson, II",1.09
PAPA JOHNS INTERNATIONAL INC,Joseph Jude Thompson,0.62
LIBBEY INC,John F. Meier,0.72
FLIR SYSTEMS INC,Earl R. Lewis,0.83
SIMON WORLDWIDE INC,Gregory Mays,0.21
STONE ENERGY CORP,David H. Welch,0.52
BRINKS CO,Michael T. Dan,1.11
POST PROPERTIES INC,David P. Stockert,0.42
RURAL/METRO CORP,Michael P. DiMino,0.03
CAMDEN PROPERTY TRUST,Richard J. Campo,0.45
PETSMART INC,Robert F. Moran,1.04
MONARCH CASINO & RESORT INC,John Farahi,0.4
EQUITY RESIDENTIAL,David J. Neithercut,0.63
BORGWARNER INC,Timothy M. Manganello,1.1
SPARTAN STORES INC,Dennis Eidson,0.69
LANDRYS RESTAURANTS INC,Tilman J. Fertitta,1.5
SAUL CENTERS INC,"Bernard Francis Saul, II",0.13
ARRIS GROUP INC,Robert J. Stanzione,0.75
GREEN MTN COFFEE ROASTERS,Lawrence J. Blanford,0.66
COLONIAL PROPERTIES TRUST,"C. Reynolds Thompson, III",0.4
BARNES & NOBLE INC,"William J. Lynch, Jr.",0.9
MARRIOTT INTL INC,"J. W. Marriott, Jr.",1.25
ULTRATECH INC,Arthur W. Zafiropoulo,0.52
BELDEN INC,John S. Stroup,0.7
OM GROUP INC,Joseph M. Scaminace,0.92
BOYD GAMING CORP,Keith Smith,1.1
DECKERS OUTDOOR CORP,Angel R. Martinez,0.95
COSTCO WHOLESALE CORP,James D. Sinegal,0.35
LEXINGTON REALTY TRUST,T. Wilson Eglin,0.55
TRIAD GUARANTY INC,Kenneth W. Jones,0.36
PATTERSON-UTI ENERGY INC,Douglas J. Wall,0.6
INCYTE CORP,"Paul A. Friedman, M.D.",0.62
GIBRALTAR INDUSTRIES INC,Brian J. Lipke,0.68
ITRON INC,Malcolm Unsworth,0.75
URBAN OUTFITTERS INC,Glen T. Senk,1
UNIVERSAL FOREST PRODS INC,Michael B. Glenn,0.59
NEWFIELD EXPLORATION CO,Lee K. Boothby,0.63
FORWARD AIR CORP,Bruce A. Campbell,0.5
BOSTON PRIVATE FINL HOLDINGS,Clayton G. Deutsch,0.28
JDS UNIPHASE CORP,Thomas H. Waechter,0.69
ASTORIA FINANCIAL CORP,Monte N. Redman,0.83
ATMI INC,Douglas A. Neugold,0.51
MARTEK BIOSCIENCES CORP,Steve Dubin,0.61
NEW YORK CMNTY BANCORP INC,Joseph R. Ficalora,1
SHAW GROUP INC,"J. M. Bernhard, Jr.",1.97
MADDEN STEVEN LTD,Edward R. Rosenfeld,0.5
TRIQUINT SEMICONDUCTOR INC,Ralph Quinsey,0.44
SIMON PROPERTY GROUP INC,David E. Simon,1
EASTMAN CHEMICAL CO,James P. Rogers,1
PLANAR SYSTEMS INC,Gerald K. Perkel,0.46
CYTEC INDUSTRIES INC,Shane D. Fleming,0.81
MEDIFAST INC,"Bradley T. MacDonald, USMC (Ret.)",0.23
HAIN CELESTIAL GROUP INC,Irwin D. Simon,1.4
CASCADE BANCORP,Patricia L. Moss,0.39
MODUSLINK GLOBAL SOLUTIONS,Joseph C. Lawler,0.65
SFN GROUP INC,Roy Krause,0.66
MID-AMERICA APT CMNTYS INC,"H. Eric Bolton, Jr.",0.43
DAKTRONICS INC,James B. Morgan,0.31
HEALTH NET INC,Jay M. Gellert,1.21
DSP GROUP INC,Ofer Elyakim,0.26
MARTIN MARIETTA MATERIALS,C. Howard Nye,0.8
MOBILE MINI INC,Steven G. Bunger,0.54
TRACTOR SUPPLY CO,James F. Wright,0.97
ALBEMARLE CORP,"Luther C. Kissam, IV",0.52
BEAZER HOMES USA INC,Allan P. Merrill,0.6
QLOGIC CORP,Simon Biddiscombe,0.43
INVESCO LTD,"Martin L. Flanagan, CFA",0.79
ROCK-TENN CO,James A. Rubright,1.04
MACERICH CO,Arthur M. Coppola,0.95
OLYMPIC STEEL INC,Michael D. Siegal,0.66
AVALONBAY COMMUNITIES INC,Bryce Blair,0.82
TOWERS WATSON & CO,John J. Haley,0.46
CIBER INC,David C. Peterschmidt,0.28
COPART INC,A. Jayson Adair,0
SCANSOURCE INC,Michael L. Baur,0.75
RALCORP HOLDINGS INC,Kevin J. Hunt,0.61
AK STEEL HOLDING CORP,James L. Wainscott,1.15
PROLOGIS INC,Walter C. Rakowich,1
BRIGHTPOINT INC,Robert J. Laikin,0.9
EAGLE MATERIALS INC,Steven R. Rowley,0.82
AMERN EAGLE OUTFITTERS INC,James V. O'Donnell,1.7
GARDNER DENVER INC,Barry L. Pennypacker,0.78
JOS A BANK CLOTHIERS INC,R. Neal Black,0.76
INVESTMENT TECHNOLOGY GP INC,Robert C. Gasser,0.75
PSS WORLD MEDICAL INC,Gary A. Corless,0.64
BLYTH INC,"Robert B. Goergen, Sr.",0.79
SIMPSON MANUFACTURING INC,Tom Fitzmyers,0.34
ESSEX PROPERTY TRUST,Michael J. Schall,0.3
HIGHWOODS PROPERTIES INC,Edward J. Fritsch,0.54
CONSOLIDATED GRAPHICS INC,Joe R. Davis,0.64
LIBERTY PROPERTY TRUST,William P. Hankowsky,0.53
AIRTRAN HOLDINGS INC,Robert L. Fornaro,0.56
MATTHEWS INTL CORP  -CL A,Joseph C. Bartolacci,0.6
APARTMENT INVST & MGMT CO,"Terry Considine, J.D.",0.6
GEO GROUP INC,George C. Zoley,1.04
HOME PROPERTIES INC,Edward J. Pettinella,0.55
ADTRAN INC,Thomas R. Stanton,0.51
AMEDISYS INC,William F. Borne,0.75
MACK-CALI REALTY CORP,Mitchell E. Hersh,1.05
DARLING INTERNATIONAL INC,Randall C. Stuewe,0.68
SIRIUS XM RADIO INC,Mel Karmazin,1.5
RELIANCE STEEL & ALUMINUM CO,David H. Hannah,0.73
REALTY INCOME CORP,"Thomas A. Lewis, Jr.",0.55
STRATASYS INC,S. Scott Crump,0.21
KNIGHT TRANSPORTATION INC,Kevin P. Knight,0.4
ASPEN TECHNOLOGY INC,Mark E. Fusco,0.5
NORTHWEST BANCSHARES INC,William J. Wagner,0.5
CAPITAL ONE FINANCIAL CORP,Richard D. Fairbank,0
APOLLO GROUP INC  -CL A,Gregory W. Cappelli,0.6
MICREL INC,Raymond D. Zinn,0.34
STILLWATER MINING CO,Francis R. McAllister,0.65
ITT EDUCATIONAL SERVICES INC,Kevin M. Modany,0.76
NUTRISYSTEM INC,Joseph M. Redling,0.69
HANMI FINANCIAL CORP,Jay Seung Yoo,0.35
INSIGHT ENTERPRISES INC,Kenneth T. Lamneck,0.6
RENT-A-CENTER INC,Mark E. Speese,0.84
BROOKS AUTOMATION INC,"Stephen S. Schwartz, Ph.D.",0.24
ACI WORLDWIDE INC,Philip G. Heasley,0.58
AZZURRA HOLDING CORP,Daniel W. Rumsey,0
DOLLAR TREE INC,Bob Sasser,0.97
AMERISOURCEBERGEN CORP,Steven H. Collis,0.65
PMI GROUP INC,L. Stephen Smith,0.83
HARMONIC INC,Patrick J. Harshman,0.45
DARDEN RESTAURANTS INC,"Clarence Otis, Jr.",1.02
BORDERS GROUP INC,Michael J. Edwards,0.63
FEI CO,Raymond A. Link,0.32
RESMED INC,Kieran T. Gallahue,0.74
TRANSWITCH CORP,M. Ali Khatibzadeh,0.32
CAMERON INTERNATIONAL CORP,Jack B. Moore,0.99
DISH NETWORK CORP,Charles W. Ergen,0.6
SOVRAN SELF STORAGE INC,Robert J. Attea,0.42
WABTEC CORP,Albert J. Neupaver,0.82
MEMC ELECTRONIC MATRIALS INC,Ahmad R. Chatila,0.75
GRAFTECH INTERNATIONAL LTD,Craig S. Shular,0.68
ATLAS AIR WORLDWIDE HLDG INC,William J. Flynn,0.86
INTEGRA LIFESCIENCES HLDGS,"Stuart M. Essig, Ph.D.",0.7
ARCH CAPITAL GROUP LTD,Constantine P. Iordanou,1
SMITH MICRO SOFTWARE INC,"William W. Smith, Jr.",0.45
MEDNAX INC,"Roger J. Medel, M.D.",0.95
EVEREST RE GROUP LTD,Joseph V. Taranto,1
HANOVER INSURANCE GROUP INC,"Frederick H. Eppinger, Jr.",0.94
DIAMOND OFFSHRE DRILLING INC,Lawrence R. Dickerson,0.83
POOL CORP,Manuel Perez De La Mesa,0.42
RADISYS CORP,Scott C. Grout,0.48
DAVITA INC,Kent J. Thiry,1.02
QWEST COMMUNICATION INTL INC,Edward A. Mueller,1.2
SCHEIN (HENRY) INC,Stanley M. Bergman,1.15
SANDISK CORP,Sanjay Mehrotra,0.6
SCHWEITZER-MAUDUIT INTL INC,Fr?d?ric P. Villoutreix,0.73
LEXMARK INTL INC  -CL A,Paul A. Rooke,0.62
ADVENT SOFTWARE INC,Stephanie G. DiMarco,0.45
ADVANCED ENERGY INDS INC,Hans-Georg Betz,0.57
LAUDER (ESTEE) COS INC -CL A,Fabrizio Freda,1.5
WATERS CORP,Douglas A. Berthiaume,0.76
HEADWATERS INC,Kirk A. Benson,0.65
BOSTON BEER INC  -CL A,C. James Koch,0.38
INTEVAC INC,Kevin Fairbairn,0.48
MEADOWBROOK INS GROUP INC,Robert S. Cubbin,0.65
NETAPP INC,Thomas Georgens,0.86
BUCKEYE TECHNOLOGIES INC,John B. Crowe,0.72
PAREXEL INTERNATIONAL CORP,Josef H. von Rickenbach,0.65
KENSEY NASH CORP,Joseph W. Kaufmann,0.33
TOLLGRADE COMMUNICATIONS INC,Edward H. Kennedy,0.2
MSC INDUSTRIAL DIRECT  -CL A,David Sandler,0.74
HARTFORD FINANCIAL SERVICES,Liam E. McGee,1.1
PHARMACEUTICAL PROD DEV INC,David L. Grange,0.59
ARTHROCARE CORP,David F. Fitzgerald,0.53
DG FASTCHANNEL INC,Scott K. Ginsburg,0.48
MULTIMEDIA GAMES HOLDING CO,Patrick J. Ramsey,0.34
CSG SYSTEMS INTL INC,Peter Kalan,0.52
IRON MOUNTAIN INC,Robert T. Brennan,0.92
HUB GROUP INC  -CL A,David P. Yeager,0.58
VERTRO INC,Peter A. Corrao,0.4
EARTHLINK INC,Rolla P. Huff,0.8
JDA SOFTWARE GROUP INC,Hamish N. J. Brewer,0.52
PRGX GLOBAL INC,Romil Bahl,0.62
CENTURY ALUMINUM CO,Logan W. Kruger,0.88
COST PLUS INC,Barry J. Feld,0.8
SAPIENT CORP,Alan J. Herrick,0.57
YAHOO INC,Timothy R. Morse,0.52
DEAN FOODS CO,Joseph Scalzo,0.83
COLLECTIVE BRANDS INC,Matthew E. Rubel,1.16
CARBO CERAMICS INC,Gary Kolstad,0.6
TRAVELERS COS INC,Jay S. Fishman,1
POLYCOM INC,Andrew M. Miller,0.53
SYKES ENTERPRISES INC,Charles E. Sykes,0.55
JAKKS PACIFIC INC,Stephen G. Berman,1.12
FTI CONSULTING INC,"Jack B. Dunn, Iv.",1.54
TUPPERWARE BRANDS CORP,E. V. Goings,1.06
99 CENTS ONLY STORES,Eric J. Schiffer,0.12
SS&C TECHNOLOGIES HLDGS INC,Bill Stone,0.75
SUNRISE SENIOR LIVING INC,Mark Ordan,0.65
SALIX PHARMACEUTICALS LTD,Carolyn J. Logan,0.77
TITANIUM METALS CORP,Bobby D. O'Brien,0.92
AFFYMETRIX INC,Kevin M. King,0.68
ANSYS INC,"James E. Cashman, III",0.54
BROADVISION INC,Pehong Chen,0.35
DIME COMMUNITY BANCSHARES,Vincent F. Palagiano,0.69
IMATION CORP,Mark E. Lucas,0.69
FACTSET RESEARCH SYSTEMS INC,Philip A. Hadley,0.28
STRAYER EDUCATION INC,Robert S. Silberman,0.67
WILHELMINA INTERNATIONAL INC,Mark E. Schwarz,0.18
TELETECH HOLDINGS INC,Kenneth Tuchman,0.35
LAMAR ADVERTISING CO  -CL A,Sean E. Reilly,0.5
GUESS INC,Paul Marciano,1
AWARE INC,Edmund C. Reiter,0.36
E TRADE FINANCIAL CORP,Steven Freiberg,0.74
STERICYCLE INC,Mark C. Miller,0.31
CYMER INC,Robert P. Akins,0.64
CALPINE CORP,Jack A. Fusco,1.05
HOT TOPIC INC,Elizabeth McLaughlin,0.85
ABERCROMBIE & FITCH  -CL A,Michael S. Jeffries,1.5
ENDO PHARMACEUTICALS HLDGS,David P. Holveck,0.88
ROFIN SINAR TECHNOLOGIES INC,Peter Wirth,0
EDGEWATER TECHNOLOGY INC,Shirley Singleton,0.33
NAVIGANT CONSULTING INC,William M. Goodyear,0.85
BJ'S RESTAURANTS INC,"Gerald W. Deitchle, CPA",0.5
HIBBETT SPORTS INC,Jeffry O. Rosenthal,0.4
WINTRUST FINANCIAL CORP,Edward Joseph Wehmer,1
ARQULE INC,Paolo Pucci,0.46
USANA HEALTH SCIENCES INC,David A. Wentz,0.59
CUBIST PHARMACEUTICALS INC,"Michael Bonney, B.A.",0.55
STAGE STORES INC,Andrew T. Hall,0.79
TRIUMPH GROUP INC,Richard C. Ill,0.8
NATIONAL OILWELL VARCO INC,"Merrill A. Miller, Jr.",0.95
EDUCATION MANAGEMENT CORP,Todd S. Nelson,0.61
INGRAM MICRO INC,Gregory M. E. Spierkel,0.85
UNITED NATURAL FOODS INC,Steven L. Spinner,0.78
VIROPHARMA INC,Vincent J. Milano,0.52
STEEL DYNAMICS INC,Keith E. Busse,1
FORRESTER RESEARCH INC,George F. Colony,0.35
VIASAT INC,Mark D. Dankberg,0.8
POWERWAVE TECHNOLOGIES INC,Ronald J. Buschur,0.6
DELTIC TIMBER CORP,Ray C. Dillon,0.54
MONSTER WORLDWIDE INC,Sal Iannuzzi,1
COVANCE INC,Joseph L. Herring,0.92
IGATE CORP,Phaneesh Murthy,0.53
QUEST DIAGNOSTICS INC,"Surya N. Mohapatra, Ph.D.",1.23
