Satisfaction,Question Wording
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Satisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very dissatisfied,Satisfied
Very dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very dissatisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very dissatisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very dissatisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very dissatisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Dissatisfied
Somewhat dissatisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very dissatisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Satisfied
Very satisfied,Satisfied
Somewhat dissatisfied,Satisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Very dissatisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
Somewhat satisfied,Dissatisfied
Somewhat dissatisfied,Dissatisfied
Very satisfied,Dissatisfied
Very satisfied,Satisfied
Somewhat satisfied,Satisfied
