Name,Combined MPG,City MPG,Highway MPG,Weight (pounds),Displacement (liters),# Cylinders,Horsepower
Audi A3,24,21,30,3625,2,4,200
Audi A4 QUATTRO,25,21,31,4000,2,4,211
Audi A4,25,22,30,3875,2,4,211
Audi R8,16,13,21,4250,4.2,8,430
Audi R8,14,11,20,4250,4.2,8,430
Audi R8,14,12,19,4000,5.2,10,525
Audi S4,21,18,27,4250,3,6,333
Audi S5,17,14,22,4250,4.2,8,354
Volkswagen TIGUAN,21,18,26,3875,2,4,200
Audi TT COUPE QUATTRO,26,23,31,3625,2,4,265
Aston Martin Lagonda Ltd DB9,13,11,17,4500,5.9,12,470
Aston Martin Lagonda Ltd DB9,15,13,20,4500,5.9,12,470
Aston Martin Lagonda Ltd DBS,13,11,17,4500,5.9,12,510
Aston Martin Lagonda Ltd DBS,14,12,18,4500,5.9,12,510
Aston Martin Lagonda Ltd Rapide,15,13,19,4750,5.9,12,470
Aston Martin Lagonda Ltd V8 Vantage S,16,14,21,4000,4.7,8,430
Aston Martin Lagonda Ltd V8 Vantage,16,14,20,4000,4.7,8,420
Aston Martin Lagonda Ltd V8 Vantage,15,13,19,4000,4.7,8,420
Aston Martin Lagonda Ltd Virage,15,13,18,4500,5.9,12,490
Bentley Motors Ltd. Mulsanne,13,11,18,6000,6.8,8,505
BMW 128i,21,18,28,3625,3,6,230
BMW 550i,17,15,22,4500,4.4,8,400
BMW 650i Convertible,17,15,22,4750,4.4,8,400
BMW 650i Coupe,17,15,22,4500,4.4,8,400
BMW 740Li,20,17,25,4750,3,6,315
BMW 750i,17,15,22,5000,4.4,8,400
BMW M3 Convertible,16,13,20,4500,4,8,414
Mini Mini Cooper Clubman,30,27,35,3000,1.6,4,122
Mini Mini Cooper Convertible,30,27,35,3000,1.6,4,122
Mini Mini Cooper Countryman,30,27,35,3250,1.6,4,122
Mini Mini Cooper S Clubman,30,27,35,3125,1.6,4,180
Mini Mini Cooper S Convertible,30,27,35,3125,1.6,4,180
Mini Mini Cooper S Countryman All4,28,25,31,3500,1.6,4,180
Mini Mini Cooper S Countryman,29,26,32,3375,1.6,4,180
Mini Mini Cooper S,30,27,35,3000,1.6,4,180
Mini Mini Cooper,32,29,37,2875,1.6,4,122
Chrysler 300 AWD,21,18,27,4500,3.6,6,292
Chrysler 300 AWD,18,15,23,4750,5.7,8,359
FIAT 500,30,27,34,2750,1.4,4,100
FIAT 500,33,30,38,2750,1.4,4,100
Dodge Challenger,18,15,23,4500,5.7,8,370
Dodge Charger AWD,21,18,27,4500,3.6,6,292
Dodge Charger,21,18,27,4250,3.6,6,292
Jeep Wrangler 4WD,18,17,21,4750,3.6,6,290
Mitsubishi Motors North America ECLIPSE SPYDER,23,20,27,3875,2.4,4,162
Mitsubishi Motors North America ECLIPSE SPYDER,19,16,24,4000,3.8,6,260
Mitsubishi Motors North America ECLIPSE,23,20,28,3625,2.4,4,162
Mitsubishi Motors North America ECLIPSE,23,20,28,3750,2.4,4,162
Mitsubishi Motors North America ECLIPSE,20,17,25,3875,3.8,6,263
Mitsubishi Motors North America GALANT,24,21,30,3625,2.4,4,160
Ford Division MUSTANG,23,19,31,3750,3.7,6,300
Ford Division MUSTANG,20,18,25,4000,5,8,400
Ford Division MUSTANG,22,19,29,3750,3.7,6,300
Ford Division MUSTANG,20,17,26,4000,5,8,400
Ford Division MUSTANG,17,15,23,4000,5.4,8,550
Ford Division TAURUS FWD,22,18,28,4500,3.5,6,263
Chevrolet CAMARO,20,17,28,4000,3.6,6,304
Chevrolet CAMARO,19,16,24,4250,6.2,8,420
Chevrolet CAMARO,22,18,29,4000,3.6,6,304
Chevrolet CAMARO,18,15,24,4500,6.2,8,400
Chevrolet CORVETTE,19,16,26,3625,6.2,8,420
Chevrolet CORVETTE,18,15,24,3500,7,8,505
Chevrolet CORVETTE,18,15,25,3625,6.2,8,420
Chevrolet CRUZE ECO,31,26,39,3375,1.4,4,140
Chevrolet CRUZE,30,26,38,3250,1.4,4,138
Chevrolet CRUZE,29,25,36,3375,1.8,4,138
Chevrolet CRUZE,30,26,38,3375,1.4,4,140
Chevrolet CRUZE,27,22,35,3375,1.8,4,140
Cadillac CTS AWD,21,18,26,4500,3,6,265
Cadillac CTS AWD,21,18,27,4500,3.6,6,304
Cadillac CTS WAGON,21,18,26,4750,3.6,6,304
Cadillac CTS,19,16,26,4250,3,6,265
Cadillac CTS,16,14,19,4500,6.2,8,550
Cadillac CTS,22,18,27,4250,3,6,265
Cadillac CTS,14,12,18,4500,6.2,8,550
Chevrolet MALIBU,26,22,33,3750,2.4,4,175
Chevrolet MALIBU,20,17,26,3875,3.6,6,250
Buick REGAL,24,20,32,4000,2,4,270
Buick REGAL,22,18,29,4000,2,4,220
Chevrolet SONIC,29,26,35,3000,1.8,4,138
Chevrolet SONIC,28,25,35,3125,1.8,4,140
Honda CIVIC HF,33,29,41,3000,1.8,4,140
Honda FIT,31,28,35,2875,1.5,4,117
Honda FIT,29,27,33,2750,1.5,4,117
Acura TL 2WD,23,20,29,4000,3.5,6,280
Acura TL 4WD,20,17,25,4250,3.7,6,305
Acura TL 4WD,21,18,26,4250,3.7,6,305
Acura TSX,24,21,29,3750,2.4,4,201
Acura TSX,26,22,31,3875,2.4,4,201
Acura TSX,23,19,28,4000,3.5,6,280
Acura ZDX 4WD,19,16,23,4750,3.7,6,300
HYUNDAI MOTOR COMPANY ACCENT,33,30,40,2875,1.6,4,138
HYUNDAI MOTOR COMPANY ACCENT,34,30,40,2750,1.6,4,138
HYUNDAI MOTOR COMPANY ELANTRA TOURING,26,23,30,3375,2,4,138
HYUNDAI MOTOR COMPANY ELANTRA TOURING,26,23,31,3375,2,4,138
HYUNDAI MOTOR COMPANY ELANTRA,33,29,40,3000,1.8,4,148
HYUNDAI MOTOR COMPANY ELANTRA,33,29,40,3000,1.8,4,148
HYUNDAI MOTOR COMPANY EQUUS,18,15,23,4750,5,8,429
HYUNDAI MOTOR COMPANY GENESIS COUPE,23,20,30,3750,2,4,210
HYUNDAI MOTOR COMPANY GENESIS COUPE,20,17,27,3750,3.8,6,306
HYUNDAI MOTOR COMPANY GENESIS COUPE,24,21,30,3750,2,4,210
HYUNDAI MOTOR COMPANY GENESIS COUPE,20,17,26,3750,3.8,6,306
HYUNDAI MOTOR COMPANY GENESIS R SPEC,19,16,25,4500,5,8,429
HYUNDAI MOTOR COMPANY GENESIS,22,19,29,4250,3.8,6,333
HYUNDAI MOTOR COMPANY GENESIS,20,17,26,4500,4.6,8,385
HYUNDAI MOTOR COMPANY GENESIS,20,17,26,4500,5,8,429
HYUNDAI MOTOR COMPANY SONATA,26,22,34,3750,2,4,274
HYUNDAI MOTOR COMPANY SONATA,28,24,35,3500,2.4,4,190
HYUNDAI MOTOR COMPANY SONATA,28,24,35,3500,2.4,4,198
HYUNDAI MOTOR COMPANY VELOSTER,32,29,38,3000,1.6,4,138
HYUNDAI MOTOR COMPANY VELOSTER,32,28,40,3000,1.6,4,138
KIA MOTORS CORPORATION FORTE ECO,30,27,37,3125,2,4,154
KIA MOTORS CORPORATION FORTE KOUP,29,25,34,3125,2,4,156
KIA MOTORS CORPORATION FORTE KOUP,26,23,31,3250,2.4,4,173
KIA MOTORS CORPORATION FORTE KOUP,28,24,33,3125,2,4,156
KIA MOTORS CORPORATION FORTE,29,26,36,3125,2,4,154
KIA MOTORS CORPORATION FORTE,26,23,32,3250,2.4,4,173
KIA MOTORS CORPORATION FORTE,29,25,34,3125,2,4,156
KIA MOTORS CORPORATION FORTE,26,22,32,3250,2.4,4,173
KIA MOTORS CORPORATION OPTIMA,26,22,34,3750,2,4,274
KIA MOTORS CORPORATION OPTIMA,28,24,35,3750,2.4,4,166
KIA MOTORS CORPORATION OPTIMA,28,24,35,3500,2.4,4,200
KIA MOTORS CORPORATION RIO,33,30,40,2875,1.6,4,138
KIA MOTORS CORPORATION RIO,34,30,40,2750,1.6,4,138
KIA MOTORS CORPORATION RONDO,22,20,27,3750,2.4,4,175
KIA MOTORS CORPORATION RONDO,21,18,26,4000,2.7,6,192
KIA MOTORS CORPORATION SOUL ECO,32,29,36,3000,1.6,4,138
KIA MOTORS CORPORATION SOUL ECO,30,27,35,3250,2,4,164
KIA MOTORS CORPORATION SOUL,30,27,35,3000,1.6,4,138
KIA MOTORS CORPORATION SOUL,29,26,34,3250,2,4,164
KIA MOTORS CORPORATION SOUL,30,27,35,3000,1.6,4,138
KIA MOTORS CORPORATION SOUL,29,26,34,3125,2,4,164
MASERATI Granturismo Convertible,15,13,20,4750,4.7,8,434
MASERATI GRANTURISMO,15,13,21,4500,4.7,8,434
Mercedes-Benz C 250,25,21,31,3750,1.8,4,201
Mercedes-Benz C 350 (Coupe),22,19,28,4000,3.5,6,302
Mercedes-Benz C 350,23,20,29,4000,3.5,6,302
Mercedes-Benz C 63 AMG,15,13,19,4250,6.2,8,451
Mercedes-Benz CL 550 4MATIC,18,15,24,5000,4.7,8,429
Mercedes-Benz CL 600,14,12,18,5250,5.5,12,510
Mercedes-Benz CL 63 AMG,18,15,22,5250,5.5,8,536
Mercedes-Benz CL 65 AMG,14,12,18,5250,6,12,621
Mercedes-Benz CLS 550 4MATIC,19,16,25,4750,4.7,8,402
Mercedes-Benz CLS 550,20,17,25,4500,4.7,8,402
Mercedes-Benz CLS 63 AMG,19,16,25,4500,5.5,8,518
Mercedes-Benz E 350 (CONVERTIBLE),22,18,28,4250,3.5,6,302
Mercedes-Benz E 350 (coupe),22,19,28,4000,3.5,6,302
Mercedes-Benz S 350 BLUETEC 4MATIC,25,21,31,5000,3,6,240
Mercedes-Benz S 550 4MATIC,18,15,24,5250,4.7,8,429
Mercedes-Benz S 550,19,15,25,5000,4.7,8,429
Mercedes-Benz S 600,14,12,19,5250,5.5,12,510
Mercedes-Benz S 63 AMG,18,15,23,5250,5.5,8,536
Mercedes-Benz S 65 AMG,14,12,19,5500,6,12,621
Mercedes-Benz SL 63 AMG,14,12,19,4750,6.2,8,518
Mercedes-Benz SLK 350,23,20,29,3750,3.5,6,302
Mercedes-Benz SLS AMG,16,14,20,4000,6.2,8,563
Porsche Cayman S,23,20,29,3500,3.4,6,320
Porsche Cayman S,22,19,26,3500,3.4,6,320
Porsche Cayman,24,20,29,3500,2.9,6,265
Porsche Cayman,22,19,27,3375,2.9,6,265
Porsche Panamera 4S,19,16,24,4500,4.8,8,400
Porsche Panamera Turbo,18,15,23,4750,4.8,8,500
Porsche Panamera,21,18,27,4500,3.6,6,300
Rolls-Royce Motor Cars Limited Phantom,14,11,18,6000,6.7,12,453
Saab 9-3 SEDAN AWD,24,20,30,3875,2,4,220
Saab 9-3 SEDAN AWD,22,18,29,4000,2,4,220
Saab 9-3 SPORT SEDAN,25,20,33,3625,2,4,220
Saab 9-3 SPORT SEDAN,23,19,29,3750,2,4,220
Saab 9-5 SEDAN AWD,20,17,27,4500,2.8,6,300
Saab 9-5 SEDAN,25,20,33,4000,2,4,220
Saab 9-5 SEDAN,22,18,28,4250,2,4,220
Suzuki KIZASHI AWD,25,22,29,3750,2.4,4,185
MAZDA MAZDA2,30,28,34,2625,1.5,4,100
MAZDA MAZDA2,32,29,35,2625,1.5,4,100
MAZDA MAZDA3,28,25,33,3125,2,4,148
MAZDA MAZDA3,23,20,28,3375,2.5,4,165
MAZDA MAZDA3,27,24,33,3250,2,4,148
MAZDA MAZDA6,24,21,30,3625,2.5,4,170
MAZDA MAZDA6,25,22,31,3625,2.5,4,168
MAZDA MAZDASPEED3,21,18,25,3625,2.3,4,263
MAZDA MX-5,25,22,28,2750,2,4,167
SCION iQ,37,36,37,2375,1.3,4,94
LEXUS IS 250/IS 250C,22,19,28,4250,2.5,6,204
SCION tC,26,23,31,3375,2.5,4,180
TOYOTA YARIS,32,30,35,2625,1.5,4,106
TOYOTA YARIS,33,30,38,2625,1.5,4,106
Audi A8L,16,14,21,5000,6.3,12,500
Volkswagen BEETLE,25,22,29,3375,2.5,5,170
Volkswagen EOS,25,22,30,3500,2,4,200
Volkswagen GOLF,34,30,42,3500,2,4,140
Volkswagen Jetta,28,24,34,3625,2,4,140
Volkswagen Jetta,26,23,33,3500,2.5,5,170
Volkswagen Jetta,27,24,32,3250,2,4,115
Volkswagen Passat,35,31,43,3750,2,4,140
Volkswagen Passat,34,30,40,3750,2,4,140
Volkswagen Passat,23,20,28,3750,3.6,6,280
